Frac_sel,Mean_PCC,Mean_MSE
0.01,0.7091112097495763,0.5112543941352433
0.05,0.7244505343058306,0.4965936919019595
0.1,0.7236012490510811,0.49652940631577486
0.15,0.7230550178242622,0.4989064405611245
0.2,0.7237031253395853,0.49916036232096334
0.25,0.7238242687699415,0.49924460185708636
0.3,0.7240068413139662,0.5002587025163612
0.35,0.7256202815381526,0.49827780822199447
0.4,0.7257051216130909,0.4988394381934434
0.45,0.7258407955625658,0.4993024617370478
0.5,0.7269737725985825,0.49833442769267694
0.55,0.7259478526857306,0.5000416899231738
0.6,0.7257121611303972,0.5008392588802631
0.65,0.7249365227742045,0.502710534697888
0.7,0.7253016305284534,0.5029640307788226
0.75,0.7255670532408072,0.5029866596441169
0.8,0.7256611002416071,0.503427607352984
0.85,0.726275693394097,0.5034075002702351
0.9,0.726611176110873,0.5044819938118397
0.95,0.7267443138160973,0.5056585764231651
1.0,0.7270747651903419,0.5071802163630467
