Columns retained, Pearson mean, Pearson std, MSE mean, MSE std
8.0, 0.42633195658821293, 0.042162667065325746, 0.9971382021903992, 0.022427706170360374
16.0, 0.44394036386507807, 0.055800154208677885, 0.9787940482298533, 0.024659359638102098
32.0, 0.4826655632592341, 0.04900516788114526, 0.954285462697347, 0.014687049419289427
64.0, 0.49961706322561256, 0.0367277674125943, 0.9147052864233652, 0.03712041689254903
128.0, 0.5410367886438338, 0.02188252341770472, 0.8554558455944061, 0.05365894249511635
256.0, 0.5878832277970171, 0.017431945447833025, 0.7485978106657664, 0.042727778731389644
512.0, 0.6395357509315521, 0.016628879624419904, 0.6577092607816061, 0.04054096727750879
1024.0, 0.6632783419536268, 0.019641419920559247, 0.6347214678923289, 0.04829713304070384
2048.0, 0.6837049048311344, 0.018307010370382307, 0.619456003109614, 0.08138699766898146
4096.0, 0.6832333787180768, 0.015557905158066813, 0.7062992950280508, 0.10161539604248387
8192.0, 0.6298949012644175, 0.08605841386452709, 0.6761533617973328, 0.08652123408763435
