Frac_sel,Mean_PCC,Mean_MSE
0.01,0.7771764599284358,0.4191652831282549
0.05,0.7942615360912998,0.38950269878773575
0.1,0.7962723175338561,0.3878365880781432
0.15,0.7945365838474604,0.39177367321526074
0.2,0.7961337924625745,0.3881362485691076
0.25,0.7957668293155774,0.38975295539904026
0.3,0.795684628497888,0.3903223628769332
0.35,0.795271406359421,0.38985758904507845
0.4,0.796056557154782,0.3887143694447959
0.45,0.7956707167566587,0.38973736144850696
0.5,0.7950705669314363,0.39080628554669583
0.55,0.7958417984397886,0.3891792391664563
0.6,0.7955789185738021,0.3899480708725125
0.65,0.795741737587422,0.3894926172966895
0.7,0.7956991028907132,0.3891375536620609
0.75,0.7955120313794923,0.3893172136606788
0.8,0.7957902704569407,0.3893817567251891
0.85,0.7957787042196659,0.38900077455645077
0.9,0.7957887585126086,0.38921207902909716
0.95,0.7957901634243715,0.3893769105998286
1.0,0.7958198189792158,0.3893524250323577
