Frac_sel,Mean_PCC,Mean_MSE
0.01,0.729866111254109,0.5632454994792288
0.05,0.7324796266792517,0.4839365714507265
0.1,0.73786125800391,0.4674486366534533
0.15,0.7315270825515897,0.4725479399560744
0.2,0.7268956438566203,0.48101721797947267
0.25,0.7262435898786177,0.4715212842645952
0.3,0.7309333408752389,0.4729249048548911
0.35,0.7327103400054796,0.48024638160777383
0.4,0.726612055993548,0.4952181067345873
0.45,0.7331394473570773,0.4565506248773335
0.5,0.7186714567316157,0.46830969549778056
0.55,0.7246789854062087,0.48266499665326573
0.6,0.7263252521725619,0.47251231689817086
0.65,0.7339372733498596,0.4587638516246471
0.7,0.7292332223533867,0.4695546687940115
0.75,0.7240755595425982,0.47803728943947627
0.8,0.7256924008317709,0.4793240495097417
0.85,0.7276394759702697,0.4675995306310455
0.9,0.7175636618057931,0.48040678185655056
0.95,0.7184923280607931,0.4734004270169702
1.0,0.7194639719893375,0.475596641642085
