Cols retained,pearson_r,mse
8,0.3733485304220093,0.895430862903595
16,0.4357095978086665,0.8439252376556396
32,0.49847745874419336,0.7613887190818787
64,0.5395833240897371,0.7462857365608215
128,0.5816130312284291,0.7387864589691162
256,0.6364465859994267,0.6477519869804382
512,0.6613234458295204,0.5800979733467102
1024,0.6803262019760531,0.5420947670936584
2048,0.686811800215184,0.5323336720466614
4096,0.7065149687168203,0.5108087062835693
8192,0.6942809907442099,0.5340481400489807
