Frac_sel,Mean_PCC,Mean_MSE
0.01,0.793484656422212,0.4541521862359092
0.05,0.7947593008813326,0.3934818743953378
0.1,0.7954584391445406,0.3829430901476221
0.15,0.7951214662080933,0.38001928219723585
0.2,0.7946207957872281,0.3823692068953024
0.25,0.7912201024271154,0.38425317855635727
0.3,0.7951609714081744,0.382485516430157
0.35,0.797271386537454,0.38102508077114944
0.4,0.7941285917725068,0.3815898371832807
0.45,0.794582929233491,0.3789506751129222
0.5,0.7910974711597766,0.3879461982612135
0.55,0.7919053419519356,0.3833136178266525
0.6,0.7908380513213258,0.39558720898661387
0.65,0.7910928325940447,0.3843627075519036
0.7,0.7863874679823571,0.3936340897699064
0.75,0.794108826569297,0.3802675798707466
0.8,0.7929146165794919,0.38138284893071434
0.85,0.7881705894757474,0.39399194487400946
0.9,0.7869077748963464,0.40278929170167405
0.95,0.7904057379872483,0.39033870197782355
1.0,0.7958364380792667,0.3806613450264547
