Frac_sel,Mean_PCC,Mean_MSE
0.01,0.6917448501281501,0.5296122193989127
0.05,0.7305248751295363,0.49187537815025517
0.1,0.7286484027567733,0.4964371751308558
0.15,0.7313134749779987,0.4956352507968044
0.2,0.7320177883891446,0.4942969766449943
0.25,0.7329765785439234,0.4933564079470775
0.3,0.7310212979772989,0.4956783983159793
0.35,0.7335890372831306,0.49088187300197966
0.4,0.7325215876144543,0.49177413256669417
0.45,0.7315133274105987,0.49366326988345605
0.5,0.7319594614151885,0.4941730408730391
0.55,0.7327349806344431,0.49356777934191826
0.6,0.7328219353768226,0.49251439320634277
0.65,0.731895556457636,0.49408994677421664
0.7,0.7332521839326526,0.4929169187022253
0.75,0.7325568556513669,0.4932431614193409
0.8,0.7329600348002588,0.49283718879196226
0.85,0.7320203761865595,0.4937596601467255
0.9,0.7328881704142525,0.4929772450696774
0.95,0.7323986011056033,0.4935688385409281
1.0,0.7326068957614598,0.4932483842621536
