Frac_sel,Mean_PCC,Mean_MSE
0.01,0.77495616356329,0.40480649267938545
0.05,0.7844119078711013,0.39288259599739167
0.1,0.78811462944522,0.3880007601433974
0.15,0.7891624338663447,0.38788502456439233
0.2,0.791708559621925,0.3851748188595902
0.25,0.7917801531801922,0.3856626348814998
0.3,0.7927451015506414,0.38460553711861234
0.35,0.7935976105108042,0.3838737056113753
0.4,0.7940661471485487,0.38371723007851616
0.45,0.794412902838129,0.38334670824715533
0.5,0.7946010041498411,0.3835193532098027
0.55,0.7948360453087671,0.38364236135421637
0.6,0.7951508926296652,0.3836913674055396
0.65,0.7951899593108243,0.3844604553523785
0.7,0.7952979470386342,0.38516961885230455
0.75,0.7953788269382877,0.38556784619040946
0.8,0.7956750410710187,0.38559961107234036
0.85,0.7960895357455131,0.3858353796859264
0.9,0.7961571522761561,0.38660317045209097
0.95,0.7960116908385929,0.3878023477901655
1.0,0.7958198189792157,0.3893524250323577
