Frac_sel,Mean_PCC,Mean_MSE
0.01,0.6897957404215228,0.5454146321536211
0.05,0.7215884812579537,0.5108838182675907
0.1,0.7257125248046594,0.5089483566616977
0.15,0.7244870292161584,0.5100601565211019
0.2,0.7234488080648535,0.5124590292435083
0.25,0.7290054752079987,0.5047197341949187
0.3,0.7265311767223274,0.5069012181617042
0.35,0.7271830802199717,0.5060998249024383
0.4,0.7263813949536774,0.507022648060471
0.45,0.7258942116384525,0.5097227798002278
0.5,0.7264842368866247,0.5078120724806007
0.55,0.725882716651729,0.5086661768733057
0.6,0.7268439042518994,0.5081814162272894
0.65,0.726747947592768,0.5075733565443061
0.7,0.7271466853083531,0.507161610993086
0.75,0.7271469367869626,0.5067097275427316
0.8,0.7271256021413578,0.5072266508568755
0.85,0.7270357213058642,0.5068461646272346
0.9,0.7270737311572795,0.5072142839797213
0.95,0.7268364613614223,0.507349534138949
1.0,0.7270747651903419,0.5071802163630467
