Cols retained,pearson_r,mse
8,0.5247456573397516,0.9083381247377477
16,0.6019414539126108,0.8328492145853469
32,0.6733493154341982,0.7601671021704638
64,0.6766901835882683,0.7185709747357162
128,0.6964612363522699,0.6632377243843678
256,0.7085194444136181,0.6530515265751741
512,0.7058595054892017,0.6287916595534068
1024,0.7003044847090822,0.5966790032902028
2048,0.7147828364421857,0.5716180734049767
4096,0.7137172435951324,0.5693762577079745
8192,0.7316025537648647,0.5112522995659093
