Frac_sel,Mean_PCC,Mean_MSE
0.01,0.7069548551664698,0.49056649051218965
0.05,0.7309409057147551,0.46810894395794794
0.1,0.7319711880544754,0.4700030501274275
0.15,0.7334688874893196,0.4713337106196276
0.2,0.7321744246294247,0.47340821781083786
0.25,0.7324806763860909,0.4740073247881888
0.3,0.7330183662564957,0.4749793717881417
0.35,0.73351405607065,0.47554669863314086
0.4,0.7336926994174705,0.4765155606989356
0.45,0.7331647201963244,0.47824500918218216
0.5,0.7332945200986645,0.4796193532945951
0.55,0.7324295254048669,0.4818482161140784
0.6,0.7325438113956056,0.48246385206566716
0.65,0.7323691935383682,0.4840981823702726
0.7,0.7322595590243774,0.4855911172612628
0.75,0.7323103500016718,0.4867976673025883
0.8,0.732347708821357,0.488068121365886
0.85,0.7322956013378898,0.48983841069340045
0.9,0.7321726119266382,0.49155990834617835
0.95,0.7321740746706755,0.49281936221198036
1.0,0.7326068957614598,0.4932483842621536
